SAR Strategy,# of Searcher UAVs,# of Survivors,# of Survivors rescued,Min.Time needed to rescue Survivors,Mean. Time needed to rescue Survivors,Max. Time needed to rescue Survivors,# of Survivors found,Min. Time needed to find Survivors,Mean Time needed to find Survivors,Max. Time needed to find Survivors,Running Time of Simulation,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,= 16,= 512,191,1339,890574,2447696,191,1239,890457,2447596,678940.0

 maxsum,= 16,= 512,233,4897,923374,2428474,233,4796,923226,2428374,891090.0

 maxsum,= 16,= 512,224,589,934798,2510285,224,489,934699,2510185,639870.0

 maxsum,= 16,= 512,210,665,821754,2501195,210,565,821615,2501094,749900.0

 maxsum,= 16,= 512,239,10286,893325,2527459,239,10186,893192,2527359,847160.0

 maxsum,= 16,= 512,208,8004,891593,2541977,208,7904,891439,2541877,860040.0

 maxsum,= 16,= 512,221,1663,852622,2341675,221,1563,852482,2341574,825770.0

 maxsum,= 16,= 512, maxsum,= 16,= 512,219,2747,1003134,2393219,219,2647,1003020,2393119,694640.0

 maxsum,= 16,= 512,224,8375,868907,2489752,224,8274,868795,2489652,794800.0

 maxsum,= 16,= 1024,405,5338,882886,2502881,405,5238,882771,2502781,2858800.0

 maxsum,= 16,= 1024, maxsum,= 16,= 2048,839,705,862920,2460354,839,605,862779,2460254,2.441942E7

 maxsum,= 16,= 2048, maxsum,= 64,= 4,4,355387,680530,871177,4,355287,680430,871077,1699450.0

812,566,891905,2563414,813,466,892243,2563314,2.9016529E8

 maxsum,= 16,= 4096,1517,1157,911833,2548286,1517,1057,911698,2548186,1.755982E8

 maxsum,= 16,= 4096,1582,863,948420,2518914,1582,763,948282,2518814,2.2725001E8

 maxsum,= 128,= 64,64,2859,227435,436407,64,2758,227335,436307,2519980.0

 maxsum,= 128,= 64,63,2960,209821,383739,63,2860,209724,383638,2698160.0

 maxsum,= 128,= 64,64,3271,197211,440397,64,3171,197111,440297,2485420.0

 maxsum,= 128,= 64,64,1960,218884,437746,64,1859,218735,437646,2555330.0

 maxsum,= 128,= 64,64,6255,212261,441733,64,6155,212162,441633,2570420.0

 maxsum,= 128,= 64,64,2766,235666,441205,64,2666,235566,441104,2374310.0

 maxsum,= 128,= 64,64,6261,198470,427623,64,6161,198349,427523,2470090.0

 maxsum,= 128,= 64,64,7111,193326,436469,64,7011,193229,436369,2462800.0

 maxsum,= 128,= 64,64,9550,239637,438991,64,9449,239537,438891,2430860.0

 maxsum,= 128,= 64,64,16232,227217,421125,64,16131,227117,421025,2533640.0

 maxsum,= 128,= 256,254,359,211855,443594,254,259,211734,443494,6618280.0

 maxsum,= 128,= 256, maxsum,= 128,= 256,256,2307,226818,442508,256,2207,226685,442408,8844710.0

 maxsum,= 128,= 256,256,721,225344,440774,256,621,225213,440674,8776650.0

 maxsum,= 128,= 256,256,1747,225266,440914,256,1647,225062,438580,8513680.0

 maxsum,= 128,= 256, maxsum,= 128,= 256,253,1436,215435,443198,253,1336,215291,443098,6710770.0

 maxsum,= 128,= 256,256,1407,218530,442343,256,1307,218349,442243,8341500.0

 maxsum,= 128,= 256, maxsum,= 128,= 256, maxsum,= 128,= 512,505,342,210989,447726,505,242,210864,447626,2.43271E7

 maxsum,= 128,= 512, maxsum,= 128,= 512, maxsum,= 128,= 512, maxsum,= 128,= 512, maxsum,= 128,= 512,510,167,212494,446770,510,67,212359,446670,2.701519E7

 maxsum,= 128,= 512, maxsum,= 128,= 512,510,1599,231107,447375,510,1499,230979,447275,2.420338E7

 maxsum,= 128,= 512, maxsum,= 128,= 512, maxsum,= 128,= 2048, maxsum,= 128,= 2048, maxsum,= 16,= 2, none,= 16,= 2,0,0,0,0,0,0,0,0,3870.0

 none,= 16,= 2,1,1945012,1945012,1945012,1,1944912,1944912,1944912,4430.0

 none,= 16,= 2,1,1542106,1542106,1542106,1,1542006,1542006,1542006,4140.0

 none,= 16,= 2,0,0,0,0,0,0,0,0,4180.0

 none,= 16,= 2,0,0,0,0,0,0,0,0,3980.0

 none,= 16,= 2,1,336940,336940,336940,1,336840,336840,336840,3850.0

 none,= 16,= 2,0,0,0,0,0,0,0,0,1910.0

 none,= 16,= 2,1,656102,656102,656102,1,656002,656002,656002,2880.0

 none,= 16,= 2,0,0,0,0,0,0,0,0,5050.0

 none,= 16,= 2,1,99951,99951,99951,1,99851,99851,99851,3230.0

 none,= 16,= 4,1,792997,792997,792997,1,792897,792897,792897,2430.0

 none,= 16,= 4,0,0,0,0,0,0,0,0,3260.0

 none,= 16,= 4,2,760021,1118693,1477366,2,759921,1118593,1477266,3450.0

 none,= 16,= 4,2,319567,516231,712896,2,319467,516131,712796,4300.0

 none,= 16,= 4,0,0,0,0,0,0,0,0,5860.0

 none,= 16,= 4,1,1575483,1575483,1575483,1,1575383,1575383,1575383,5760.0

 none,= 16,= 4,1,1795696,1795696,1795696,1,1795596,1795596,1795596,6220.0

 none,= 16,= 4,2,62630,76947,91264,2,62530,76847,91164,3100.0

 none,= 16,= 4,2,403724,634323,864922,2,403624,634223,864822,5140.0

 none,= 16,= 4,1,1413887,1413887,1413887,1,1413787,1413787,1413787,3850.0

 none,= 16,= 8,3,77978,679133,1165873,3,77877,679032,1165773,4940.0

 none,= 16,= 8,1,412994,412994,412994,1,412893,412893,412893,4040.0

 none,= 16,= 8,1,729393,729393,729393,1,729293,729293,729293,6070.0

 none,= 16,= 8,3,583865,683641,743149,3,583765,683541,743049,5740.0

 none,= 16,= 8,2,687856,1065279,1442703,2,687756,1065179,1442602,4170.0

 none,= 16,= 8,1,1461179,1461179,1461179,1,1461079,1461079,1461079,6550.0

 none,= 16,= 8,2,865662,1542068,2218475,2,865561,1541968,2218375,5460.0

 none,= 16,= 8,2,547408,1048637,1549867,2,547307,1048536,1549766,5320.0

 none,= 16,= 8,3,1071856,1397273,1716834,3,1071755,1397172,1716733,5630.0

 none,= 16,= 8,4,45608,724343,1523149,4,45508,724243,1523048,5880.0

 none,= 16,= 16,6,249705,896039,1964414,6,249605,895348,1964313,5340.0

 none,= 16,= 16,7,264924,1212414,2343464,7,264824,1212314,2343364,5630.0

 none,= 16,= 16,6,596321,962137,1553999,6,596221,962037,1553899,6320.0

 none,= 16,= 16,2,702902,1216994,1731086,2,702802,1216894,1730986,6070.0

 none,= 16,= 16,4,363345,702467,1125800,4,363245,702367,1125700,5600.0

 none,= 16,= 16,6,186573,1087542,2177056,6,186473,1087441,2176956,5190.0

 none,= 16,= 16,4,267399,905115,2233003,4,267299,905015,2232903,6070.0

 none,= 16,= 16,8,46074,461300,961918,8,45973,461200,961818,4720.0

 none,= 16,= 16,6,76756,529370,1352761,6,76656,529270,1352661,5440.0

 none,= 16,= 16,7,109815,883041,2000337,7,109715,882940,2000237,6680.0

 none,= 16,= 64,18,2612,703690,1604977,18,2512,703589,1604877,6390.0

 none,= 16,= 64,27,15053,745346,1920614,27,14953,745246,1920514,6260.0

 none,= 16,= 64,20,646,697650,2080990,20,546,697550,2080890,7070.0

 none,= 16,= 64,20,28358,527540,2060552,20,28258,527439,2060452,6940.0

 none,= 16,= 64,25,32564,697651,1992232,25,32464,697551,1992132,6880.0

 none,= 16,= 64,25,23572,609148,1733014,25,23471,609048,1732914,6860.0

 none,= 16,= 64,18,68813,635974,1813478,18,68713,635874,1813378,6330.0

 none,= 16,= 64,25,1500,823511,2413433,25,1400,823410,2413332,6050.0

 none,= 16,= 64,19,15252,826537,2122712,19,15152,826437,2122612,6420.0

 none,= 16,= 64,21,18702,644887,1702535,21,18601,644787,1702435,6250.0

 none,= 16,= 256,70,4766,787528,2182833,70,4666,787428,2182733,8210.0

 none,= 16,= 256,87,2457,676550,2387179,87,2357,676450,2387079,8600.0

 none,= 16,= 256,74,4921,757913,2127152,74,4821,757813,2127052,8560.0

 none,= 16,= 256,84,4285,756019,2442426,84,4184,755880,2442326,7750.0

 none,= 16,= 256,76,13713,814590,2346795,76,13613,814450,2346695,9640.0

 none,= 16,= 256,68,31382,858790,2000830,68,31282,858643,2000730,7550.0

 none,= 16,= 256,86,15162,743279,2497727,86,15062,743179,2497627,7120.0

 none,= 16,= 256,86,10631,849476,2387341,86,10530,849334,2387241,9720.0

 none,= 16,= 256,92,2012,822901,2452843,92,1912,822767,2452743,8620.0

 none,= 16,= 256,99,13676,797582,2456783,99,13576,797482,2456683,8200.0

 none,= 16,= 512,168,3702,837311,2381529,168,3601,837211,2381428,11670.0

 none,= 16,= 512,163,2056,788396,2256509,163,1956,788256,2256409,10260.0

 none,= 16,= 512,158,16003,736195,2061673,158,15903,736095,2061573,11090.0

 none,= 16,= 512,179,3508,873877,2378316,179,3408,873777,2378216,11090.0

 none,= 16,= 512,157,5166,732272,2468862,157,5066,732148,2468762,11900.0

 none,= 16,= 512,152,3836,724722,2541317,152,3736,724622,2541217,8760.0

 none,= 16,= 512,182,9049,763081,2446421,182,8949,762980,2446321,11400.0

 none,= 16,= 512,182,7595,799445,2419288,182,7495,799328,2419187,11840.0

 none,= 16,= 512,162,6287,875179,2270014,162,6187,875033,2269913,11020.0

 none,= 16,= 512,175,2617,825153,2441410,175,2517,825030,2441310,9800.0

 none,= 16,= 1024,322,498,734422,2420461,322,397,734303,2420361,16190.0

 none,= 16,= 1024,351,4454,754930,2390642,351,4353,754830,2390542,15850.0

 none,= 16,= 2048,672,1457,780189,2324452,672,1357,780064,2324351,25190.0

 none,= 16,= 2048,631,184,816109,2557192,631,84,815999,2557092,24060.0

 none,= 16,= 4096,1287,340,804774,2483911,1287,240,804666,2483811,43260.0

 none,= 16,= 4096,1260,1594,811764,2540170,1260,1494,811636,2540070,48520.0

 none,= 128,= 64,61,17186,313105,1575736,61,17086,313005,1575636,34610.0

 none,= 128,= 64,57,6877,371262,1466641,57,6777,371109,1466541,24120.0

 none,= 128,= 64,59,4125,347270,1310342,59,4025,347170,1310242,23320.0

 none,= 128,= 64,63,7751,332336,1433712,63,7651,332186,1433612,25160.0

 none,= 128,= 64,61,959,405726,1474470,61,858,405626,1474370,26510.0

 none,= 128,= 64,55,22070,334978,1586291,55,21969,334815,1586191,26810.0

 none,= 128,= 64,58,4856,483658,1661806,58,4756,483504,1661706,35900.0

 none,= 128,= 64,58,6275,463903,1835291,58,6175,463693,1835191,32910.0

 none,= 128,= 64,52,923,408537,1477801,52,823,408437,1477701,25680.0

 none,= 128,= 64,55,2468,437386,1314024,55,2368,437286,1313924,23430.0

 none,= 128,= 256,229,352,346660,1646848,229,252,346527,1646748,34610.0

 none,= 128,= 256,240,497,360277,1956856,240,397,360150,1956755,38790.0

 none,= 128,= 256,235,2394,375936,1837818,235,2294,375809,1837718,34380.0

 none,= 128,= 256,231,365,401858,2142690,231,265,401758,2142590,41870.0

 none,= 128,= 256,239,1053,342390,2014550,239,953,342290,2014450,41650.0

 none,= 128,= 256,241,552,374138,1925013,241,452,374012,1924913,43590.0

 none,= 128,= 256,236,661,347897,1796675,236,561,347770,1796575,35240.0

 none,= 128,= 256,234,556,352993,1704179,234,456,352852,1704079,42240.0

 none,= 128,= 256,231,1001,377484,2235021,231,901,377370,2234921,42200.0

 none,= 128,= 256,232,1087,359007,1475552,232,987,358907,1475452,35360.0

 none,= 128,= 512,455,1084,381832,1824523,455,984,381718,1824423,42810.0

 none,= 128,= 512,457,653,379911,2215288,457,553,379788,2215187,47940.0

 none,= 128,= 512,457,429,385179,2013866,457,329,385065,2013766,42510.0

 none,= 128,= 512,468,1906,378072,2177347,468,1806,377952,2177247,46290.0

 none,= 128,= 512,457,289,360393,2101324,457,189,360279,2101224,40670.0

 none,= 128,= 512,463,356,370305,1938901,463,256,370185,1938801,40610.0

 none,= 128,= 512,466,3770,409898,2332371,466,3670,409784,2332270,51550.0

 none,= 128,= 512,471,1057,362320,2051616,471,957,362193,2051516,47910.0

 none,= 128,= 512,467,1640,360884,1927286,467,1540,360770,1927186,42510.0

 none,= 128,= 512,455,968,368208,2014448,455,868,368108,2014348,45560.0

 none,= 8,= 2,0,0,0,0,0,0,0,0,2820.0

 none,= 8,= 2,1,144909,144909,144909,1,144809,144809,144809,1020.0

 none,= 8,= 2,0,0,0,0,0,0,0,0,1280.0

 none,= 8,= 2,0,0,0,0,0,0,0,0,2260.0

 none,= 8,= 2,1,237958,237958,237958,1,237858,237858,237858,900.0

 none,= 8,= 2,0,0,0,0,0,0,0,0,1290.0

 none,= 8,= 2,0,0,0,0,0,0,0,0,2940.0

 none,= 8,= 2,0,0,0,0,0,0,0,0,740.0

 none,= 8,= 2,0,0,0,0,0,0,0,0,2350.0

 none,= 8,= 2,0,0,0,0,0,0,0,0,2830.0

 none,= 8,= 4,1,1622002,1622002,1622002,1,1621902,1621902,1621902,3150.0

 none,= 8,= 4,1,200238,200238,200238,1,200138,200138,200138,2410.0

 none,= 8,= 4,0,0,0,0,0,0,0,0,3460.0

 none,= 8,= 4,0,0,0,0,0,0,0,0,1980.0

 none,= 8,= 4,0,0,0,0,0,0,0,0,2720.0

 none,= 8,= 4,2,159927,614232,1068537,2,159827,614131,1068436,3260.0

 none,= 8,= 4,0,0,0,0,0,0,0,0,2650.0

 none,= 8,= 4,0,0,0,0,0,0,0,0,3000.0

 none,= 8,= 4,1,248914,248914,248914,1,248814,248814,248814,2130.0

 none,= 8,= 4,0,0,0,0,0,0,0,0,2800.0

 none,= 8,= 8,0,0,0,0,0,0,0,0,2820.0

 none,= 8,= 8,1,2148679,2148679,2148679,1,2148578,2148578,2148578,3300.0

 none,= 8,= 8,0,0,0,0,0,0,0,0,2290.0

 none,= 8,= 8,0,0,0,0,0,0,0,0,3090.0

 none,= 8,= 8,2,521598,1116831,1712064,2,521498,1116731,1711964,2880.0

 none,= 8,= 8,0,0,0,0,0,0,0,0,3000.0

 none,= 8,= 8,2,998595,1169023,1339451,2,998495,1168923,1339351,3620.0

 none,= 8,= 8,2,425149,481794,538440,2,425048,481694,538340,3060.0

 none,= 8,= 8,2,946199,1232476,1518753,2,946099,1232376,1518653,2630.0

 none,= 8,= 8,1,1640086,1640086,1640086,1,1639986,1639986,1639986,3690.0

 none,= 8,= 16,3,386779,986422,1758067,3,386679,986322,1757967,4570.0

 none,= 8,= 16,1,60497,60497,60497,1,60397,60397,60397,2920.0

 none,= 8,= 16,3,236444,985919,2233221,3,236343,985818,2233121,3390.0

 none,= 8,= 16,2,85912,262731,439551,2,85812,262631,439451,3790.0

 none,= 8,= 16,1,170856,170856,170856,1,170756,170756,170756,3370.0

 none,= 8,= 16,3,364197,862969,1718257,3,364097,862869,1718157,2760.0

 none,= 8,= 16,7,184469,1019962,1660801,7,184369,1019862,1660701,3580.0

 none,= 8,= 16,4,16322,591387,1481370,4,16222,591287,1481270,3330.0

 none,= 8,= 16,1,1234733,1234733,1234733,1,1234633,1234633,1234633,4020.0

 none,= 8,= 16,3,302520,1096196,1498698,3,302420,1096096,1498598,3670.0

 none,= 8,= 64,11,88667,929421,2337141,11,88567,928750,2337041,4060.0

 none,= 8,= 64,11,91756,850797,1685392,11,91656,850697,1685292,3850.0

 none,= 8,= 64,10,129259,841940,2014883,10,129159,841839,2014783,4360.0

 none,= 8,= 64,14,20955,987525,2262284,14,20855,987425,2262184,4540.0

 none,= 8,= 64,9,4005,616409,2000446,9,3905,616309,2000346,3820.0

 none,= 8,= 64,10,28060,835227,2129988,10,27960,834799,2129888,4070.0

 none,= 8,= 64,8,767693,1467021,2575800,8,767593,1466921,2575700,4140.0

 none,= 8,= 64,12,140653,1052401,1997089,12,140552,1052301,1996989,3930.0

 none,= 8,= 64,13,143202,868373,2233336,13,143102,868273,2233236,3900.0

 none,= 8,= 64,12,3022,625842,2139656,12,2922,625742,2139556,3770.0

 none,= 8,= 256,37,19241,899551,2589017,37,19141,899451,2588917,5160.0

 none,= 8,= 256,52,2835,809037,2119364,52,2735,808937,2119264,5610.0

 none,= 8,= 256,48,5588,804862,2017493,48,5488,804697,2017392,5530.0

 none,= 8,= 256,51,5744,872520,2185426,51,5644,872420,2185326,6030.0

 none,= 8,= 256,50,29424,726305,2077966,50,29324,726204,2077866,5480.0

 none,= 8,= 256,46,14263,823265,2300517,46,14163,823165,2300417,5610.0

 none,= 8,= 256,47,14057,834769,2260450,47,13956,834669,2260350,6420.0

 none,= 8,= 256,47,70821,829850,2269882,47,70721,829750,2269782,6460.0

 none,= 8,= 256,48,16489,703629,2171785,48,16389,703529,2171685,6250.0

 none,= 8,= 256,43,65204,806964,1993645,43,65104,806864,1993545,6180.0

 none,= 8,= 512,88,6876,917053,2239305,88,6776,916952,2239204,7120.0

 none,= 8,= 512,80,3623,850053,2494664,80,3523,849953,2494564,8930.0

 none,= 8,= 512,92,43159,819221,2095218,92,43059,819121,2095118,8160.0

 none,= 8,= 512,92,29154,919483,2454912,92,29054,919312,2451451,9070.0

 none,= 8,= 512,95,3054,792850,2409529,95,2954,792749,2409429,7810.0

 none,= 8,= 512,88,1168,927172,2382854,88,1068,927072,2382754,8630.0

 none,= 8,= 512,79,49727,875790,2574394,79,49627,875647,2574294,9160.0

 none,= 8,= 512,101,15289,833185,2330827,101,15189,833051,2330726,8600.0

 none,= 8,= 512,92,20155,896344,2492468,92,20055,896206,2492368,7720.0

 none,= 8,= 512,100,1886,769861,2169806,100,1786,769727,2169705,9240.0

 none,= 8,= 1024,190,4674,789791,2508871,190,4574,789691,2508770,12540.0

 none,= 8,= 1024,207,2540,792892,2382031,207,2440,792776,2381930,12790.0

 none,= 8,= 1024,192,9494,829956,2409602,192,9394,829839,2409502,11320.0

 none,= 8,= 1024,172,1369,845843,2357781,172,1269,845705,2357681,14530.0

 none,= 8,= 1024,173,15001,944854,2428959,173,14901,944754,2428859,13120.0

 none,= 8,= 1024,197,19812,860702,2450654,197,19712,860602,2450554,13220.0

 none,= 8,= 1024,180,5721,845925,2451817,180,5621,845808,2451716,11290.0

 none,= 8,= 1024,184,3172,855269,2512093,184,3072,855153,2511993,12880.0

 none,= 8,= 1024,179,1721,832292,2377552,179,1621,832156,2377452,12520.0

 none,= 8,= 1024,203,1535,876748,2329855,203,1435,876647,2329755,14010.0

 none,= 8,= 2048,361,1690,847559,2414607,362,1590,849177,2414507,20640.0

 none,= 8,= 2048,352,627,827260,2549611,352,527,827142,2549511,20860.0

 none,= 8,= 2048,361,2225,823007,2492781,361,2125,822879,2492681,26810.0

 none,= 8,= 2048,378,6505,816177,2369991,378,6404,816069,2369891,20040.0

 none,= 8,= 2048,369,852,811206,2498503,369,752,811088,2498403,23510.0

 none,= 8,= 2048,367,2406,813899,2445227,367,2306,813790,2445127,24270.0

 none,= 8,= 2048,355,2350,824672,2465542,355,2250,824564,2465442,25210.0

 none,= 8,= 2048,330,2205,828797,2519776,330,2104,828685,2519676,19910.0

 none,= 8,= 2048,366,16193,835060,2518988,366,16093,834934,2518888,25670.0

 none,= 8,= 2048,343,212,822497,2387533,343,111,822387,2387432,24000.0

 none,= 8,= 4096,671,552,865097,2520472,671,452,864973,2520372,45470.0

 none,= 8,= 4096,691,4254,860660,2417793,691,4154,860541,2417693,50100.0

 none,= 8,= 4096,694,891,850073,2536998,694,791,849959,2536898,48190.0

 none,= 8,= 4096,725,396,880583,2498505,725,296,880475,2498405,49580.0

 none,= 8,= 4096,686,2183,881323,2518635,686,2083,881213,2518535,48070.0

 none,= 8,= 4096,681,2199,901092,2364345,681,2099,900973,2364245,50210.0

 none,= 8,= 4096,694,702,863969,2574682,694,602,863864,2574582,43740.0

 none,= 8,= 4096,676,500,857172,2413686,676,400,857053,2413586,46980.0

 none,= 8,= 4096,707,485,873098,2540566,707,385,872979,2540466,48610.0

 none,= 8,= 4096,732,357,858429,2450736,732,257,858297,2450636,42380.0

 auction,= 128,= 4096,3975,616,291565,615679,3984,34,289539,590327,4140080.0

 maxsum,= 128,= 4096, maxsum,= 128,= 4096, maxsum,= 128,= 4096, maxsum,= 32,= 2048, maxsum,= 10,ry = 10,0,0,0,0,0,0,0,0,15.6001

 maxsum,= 10,ry = 10,0,0,0,0,0,0,0,0,15.6001

 maxsum,= 10,ry = 10,0,0,0,0,0,0,0,0,31.2002

 maxsum,= 10,ry = 10,0,0,0,0,0,0,0,0,15.6001

 maxsum,= 10,ry = 10,0,0,0,0,0,0,0,0,46.8003

