SAR Strategy,# of Searcher UAVs,# of Survivors,# of Survivors rescued,Min.Time needed to rescue Survivors,Mean. Time needed to rescue Survivors,Max. Time needed to rescue Survivors,# of Survivors found,Min. Time needed to find Survivors,Mean Time needed to find Survivors,Max. Time needed to find Survivors,Running Time of Simulation,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,4,1,723930,723930,723930,1,723830,723830,723830,41990,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,4,0,0,0,0,0,0,0,0,22010,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,4,1,720131,720131,720131,1,720031,720031,720031,42690,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,4,1,853265,853265,853265,1,853165,853165,853165,26240,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,4,1,594309,594309,594309,1,594209,594209,594209,48730,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,4,1,1229163,1229163,1229163,1,1229063,1229063,1229063,29980,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,4,1,1057314,1057314,1057314,1,1057214,1057214,1057214,42780,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,4,1,77909,77909,77909,1,77808,77808,77808,27860,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,4,1,469614,469614,469614,1,469514,469514,469514,33740,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,8,3,596863,829049,1114991,3,596763,828949,1114891,39280,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,8,2,180451,523024,865597,2,180351,522923,865496,49390,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,8,0,0,0,0,0,0,0,0,18260,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,8,2,1158640,1509070,1859500,2,1158539,1508969,1859400,41000,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,8,1,696353,696353,696353,1,696253,696253,696253,44230,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,8,1,237509,237509,237509,1,237408,237408,237408,45210,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,8,2,752761,1052837,1352913,2,752661,1052736,1352812,37660,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 maxsum,8,8,1,472301,472301,472301,1,472201,472201,472201,47050,,,,,,,,,,,,,,,,,,,,,,,,
